planet_name,host_star_id,mission,disposition,orbital_period_days,transit_epoch_bjd,transit_duration_hours,transit_depth_ppm,planet_radius_re,planet_mass_me,equilibrium_temp_k,insolation_flux,eccentricity,inclination_deg,impact_parameter,stellar_teff_k,stellar_radius_rsun,stellar_radius_normal,stellar_mass_msun,mass_rad_ratio,stellar_metallicity,stellar_logg,acc_grav_stellar_surface,ra,dec,tic_id
Kepler-227 b,10797460,Kepler,CONFIRMED,9.48803557,170.53875,2.9575,616,2.26,,793,93.59,,,0.146,5455,0.927,644913900,1.82759E+30,2.83384E+21,,4.467,293.0893245,291.93423,48.141651,
Kepler-227 c,10797460,Kepler,CONFIRMED,54.4183827,162.51384,4.507,875,2.83,,443,9.11,,,0.586,5455,0.927,644913900,1.82759E+30,2.83384E+21,,4.467,293.0893245,291.93423,48.141651,
K00753.01,10811496,Kepler,CANDIDATE,19.89913995,175.850252,1.7822,10800,14.6,,638,39.3,,,0.969,5853,0.868,603867600,1.91319E+30,3.16822E+21,,4.544,349.945167,297.00482,48.134129,
K00754.01,10848459,Kepler,FALSE POSITIVE,1.736952453,170.307565,2.40641,8080,33.46,,1395,891.96,,,1.276,5805,0.791,550298700,1.66369E+30,3.02324E+21,,4.564,366.4375746,285.53461,48.28521,
Kepler-664 b,10854555,Kepler,CONFIRMED,2.525591777,171.59555,1.6545,603,2.75,,1406,926.16,,,0.701,6031,1.046,727702200,2.17661E+30,2.99108E+21,,4.438,274.1574172,288.75488,48.2262,
Kepler-228 d,10872983,Kepler,CONFIRMED,11.09432054,171.20116,4.5945,1520,3.9,,835,114.81,,,0.538,6046,0.972,676220400,2.09918E+30,3.10429E+21,,4.486,306.1963434,296.28613,48.22467,
Kepler-228 c,10872983,Kepler,CONFIRMED,4.13443512,172.97937,3.1402,686,2.77,,1160,427.65,,,0.762,6046,0.972,676220400,2.09918E+30,3.10429E+21,,4.486,306.1963434,296.28613,48.22467,
Kepler-228 b,10872983,Kepler,CONFIRMED,2.56658897,179.55437,2.429,227,1.59,,1360,807.74,,,0.755,6046,0.972,676220400,2.09918E+30,3.10429E+21,,4.486,306.1963434,296.28613,48.22467,
K00114.01,6721123,Kepler,FALSE POSITIVE,7.36178958,132.25053,5.022,234,39.21,,1342,767.22,,,1.169,6227,1.958,1362180600,2.69366E+30,1.97747E+21,,3.986,96.82778563,298.86435,42.151569,
Kepler-229 c,10910878,Kepler,CONFIRMED,16.06864674,173.621937,3.5347,4910,5.76,,600,30.75,,,0.052,5031,0.848,589953600,1.59408E+30,2.70204E+21,,4.485,305.4921113,286.99948,48.37579,
Kepler-1 b,11446443,Kepler,CONFIRMED,2.470613377,122.763305,1.74319,14200,13.04,,1339,761.46,,,0.818,5820,0.964,670654800,1.9314E+30,2.87987E+21,,4.457,286.417797,286.80847,49.316399,
Kepler-2 b,10666592,Kepler,CONFIRMED,2.204735417,121.3585417,3.88864,6670,16.1,,2048,4148.92,,,0.224,6440,1.952,1358006400,2.88854E+30,2.12704E+21,,4.019,104.4720219,292.24728,47.969521,
Kepler-8 b,6922244,Kepler,CONFIRMED,3.522498429,121.1194228,3.19843,9150,14.59,,1521,1264.67,,,0.631,6225,1.451,1009460700,2.25451E+30,2.23338E+21,,4.169,147.5706533,281.28812,42.45108,
